LINK_ID	GEOMETRY
166	LINESTRING (990359.98160542 -4316857.9929208,990397.34657824 -4316929.06409941,990402.05590942 -4316938.81643342,990403.75592097 -4316942.82653025)
167	LINESTRING (990403.75592097 -4316942.82653025,990402.05590942 -4316938.81643342,990397.34657824 -4316929.06409941,990359.98160542 -4316857.9929208)
170	LINESTRING (983779.53422684 -4307250.36100304,983773.52762878 -4307248.2915145,983765.27714047 -4307243.28724065,983761.79703986 -4307236.07218945)
171	LINESTRING (983761.79703986 -4307236.07218945,983765.27714047 -4307243.28724065,983773.52762878 -4307248.2915145,983779.53422684 -4307250.36100304)
172	LINESTRING (978291.32064119 -4294971.06053397,978310.5479288 -4294975.72679772,978377.74531406 -4294992.01111472,978419.58627725 -4295002.15832828,978482.45689349 -4295017.40029913,978499.11696556 -4295021.43690582,978516.09950612 -4295025.54682475,978558.70675702 -4295035.87428139,978575.54027315 -4295039.9599354,978634.85937131 -4295054.34022642,978682.33200517 -4295065.84847106,978690.58307767 -4295067.85435404,978805.80869463 -4295095.78857126,978838.78832041 -4295103.78793552,978895.25262017 -4295117.4693805,978903.2340847 -4295119.40679855,978938.20130652 -4295128.25433885,978961.06749591 -4295133.69134593,978993.93915868 -4295141.40150599,979012.49552776 -4295145.90893883,979120.68719174 -4295172.13842377,979124.76071502 -4295173.12573489,979234.55252352 -4295199.75544358,979313.12325954 -4295218.80964461,979339.45296331 -4295225.1921706,979430.41830372 -4295247.24721551,979440.07075813 -4295249.59040598,979528.71087199 -4295271.09347277,979545.55360028 -4295275.17027192)
173	LINESTRING (979545.55360028 -4295275.17027192,979528.71087199 -4295271.09347277,979440.07075813 -4295249.59040598,979430.41830372 -4295247.24721551,979339.45296331 -4295225.1921706,979313.12325954 -4295218.80964461,979234.55252352 -4295199.75544358,979124.76071502 -4295173.12573489,979120.68719174 -4295172.13842377,979012.49552776 -4295145.90893883,978993.93915868 -4295141.40150599,978961.06749591 -4295133.69134593,978938.20130652 -4295128.25433885,978903.2340847 -4295119.40679855,978895.25262017 -4295117.4693805,978838.78832041 -4295103.78793552,978805.80869463 -4295095.78857126,978690.58307767 -4295067.85435404,978682.33200517 -4295065.84847106,978634.85937131 -4295054.34022642,978575.54027315 -4295039.9599354,978558.70675702 -4295035.87428139,978516.09950612 -4295025.54682475,978499.11696556 -4295021.43690582,978482.45689349 -4295017.40029913,978419.58627725 -4295002.15832828,978377.74531406 -4294992.01111472,978310.5479288 -4294975.72679772,978291.32064119 -4294971.06053397)
184	LINESTRING (985727.90485024 -4298024.2601263,985735.66094775 -4298026.2051822,985740.12659992 -4298027.66706746)
185	LINESTRING (985740.12659992 -4298027.66706746,985735.66094775 -4298026.2051822,985727.90485024 -4298024.2601263)
196	LINESTRING (986121.87023932 -4306776.99953035,986108.31268585 -4306777.9335994,986097.67498699 -4306780.09180352)
197	LINESTRING (986097.67498699 -4306780.09180352,986108.31268585 -4306777.9335994,986121.87023932 -4306776.99953035)
204	LINESTRING (986451.70056479 -4296515.18167391)
205	LINESTRING (986451.70056479 -4296515.18167391)
206	LINESTRING (971309.76618656 -4290847.58521924)
207	LINESTRING (971309.76618656 -4290847.58521924)
208	LINESTRING (970384.86954134 -4293950.77460096,970404.47919541 -4293955.57229712)
209	LINESTRING (970404.47919541 -4293955.57229712,970384.86954134 -4293950.77460096)
210	LINESTRING (972520.74763374 -4292812.35039662)
211	LINESTRING (972520.74763374 -4292812.35039662)
212	LINESTRING (972199.07798853 -4294349.52289925)
213	LINESTRING (972199.07798853 -4294349.52289925)
214	LINESTRING (994975.36449561 -4303816.95776356,994983.96291351 -4303817.09108221,994994.33487122 -4303814.09910798,995000.54045676 -4303810.69928445)
215	LINESTRING (995000.54045676 -4303810.69928445,994994.33487122 -4303814.09910798,994983.96291351 -4303817.09108221,994975.36449561 -4303816.95776356)
216	LINESTRING (995022.66639941 -4303871.93284412,995005.28071441 -4303871.59313424,995000.79749253 -4303875.40550125,994996.91559812 -4303878.16206647)
217	LINESTRING (994996.91559812 -4303878.16206647,995000.79749253 -4303875.40550125,995005.28071441 -4303871.59313424,995022.66639941 -4303871.93284412)
218	LINESTRING (972421.13615474 -4291961.14362251,972429.00116266 -4291955.21140823,972435.9622117 -4291949.24475013)
219	LINESTRING (972435.9622117 -4291949.24475013,972429.00116266 -4291955.21140823,972421.13615474 -4291961.14362251)
220	LINESTRING (979019.65927507 -4290464.94849881,979047.69428257 -4290443.6811782,979069.38096414 -4290422.1896605,979110.92418049 -4290360.95020527)
221	LINESTRING (979110.92418049 -4290360.95020527,979069.38096414 -4290422.1896605,979047.69428257 -4290443.6811782,979019.65927507 -4290464.94849881)
